Date,SMAL,EMAL,WMAL,SMAC,EMAC,WMAC,RSIC,RSIL,ADXC,ADXL,SAR,R,B
20060509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.05999999999999872,0
20060510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.08999999999999986,0
20060511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.08999999999999986,0
20060512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.20000000000000107,0
20060515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.019999999999999574,0
20060516,NA,NA,NA,8.44,8.44,8.35,NA,NA,NA,NA,8.85,-0.02999999999999936,0
20060517,NA,NA,NA,8.34,8.33,8.24,0.0,NA,NA,NA,8.85,-0.19000000000000128,0
20060518,NA,NA,NA,8.25,8.25,8.16,0.0,NA,NA,NA,8.85,-0.019999999999999574,0
20060519,NA,NA,NA,8.15,8.16,8.07,0.0,NA,NA,NA,8.85,-0.11000000000000032,0
20060522,NA,NA,NA,8.07,8.09,8.0,0.0,NA,NA,NA,8.85,-0.019999999999999574,0
20060523,NA,NA,NA,7.99,7.99,7.9,0.0,NA,NA,NA,8.85,-0.16999999999999993,0
20060524,NA,NA,NA,7.95,7.98,7.89,31.05,NA,NA,NA,8.85,0.25,1
20060525,NA,NA,NA,7.91,7.97,7.89,31.05,NA,81.76,NA,8.85,0.0,0
20060526,NA,NA,NA,7.9,7.97,7.9,31.05,NA,77.75,NA,8.85,0.0,0
20060529,NA,NA,NA,7.85,7.88,7.83,18.59,NA,76.42,NA,8.85,-0.33999999999999986,0
20060530,NA,NA,NA,7.78,7.77,7.73,15.4,NA,75.87,NA,8.85,-0.15000000000000036,0
20060531,NA,NA,NA,7.76,7.76,7.72,37.78,NA,75.4,NA,8.85,0.27000000000000046,1
20060601,NA,NA,NA,7.76,7.74,7.7,36.13,NA,71.76,NA,8.85,-0.040000000000000036,0
20060602,8.02,8.02,7.83,7.7,7.68,7.63,28.5,NA,70.01,NA,8.85,-0.20999999999999996,0
20060605,7.95,7.95,7.76,7.6,7.57,7.52,22.65,20.97,69.72,NA,8.85,-0.22000000000000064,0
20060606,7.86,7.85,7.67,7.45,7.42,7.36,16.8,18.46,70.69,NA,8.85,-0.3199999999999994,0
20060607,7.77,7.75,7.57,7.34,7.27,7.2,15.1,17.63,72.45,NA,8.85,-0.1200000000000001,0
20060608,7.69,7.66,7.48,7.25,7.15,7.07,15.1,17.63,72.66,NA,8.85,0.0,0
20060609,7.6,7.55,7.36,7.07,6.98,6.87,10.67,15.33,73.72,NA,8.85,-0.3600000000000003,0
20060612,7.5,7.42,7.22,6.85,6.77,6.64,8.24,13.71,75.31,NA,8.85,-0.3099999999999996,0
20060613,7.4,7.31,7.1,6.68,6.65,6.5,18.06,17.84,76.68,NA,8.85,0.13999999999999968,1
20060614,7.33,7.24,7.03,6.59,6.64,6.49,36.69,26.55,71.58,NA,8.85,0.33000000000000007,1
20060616,7.26,7.18,6.96,6.53,6.62,6.48,34.74,25.94,66.58,NA,8.85,-0.07000000000000028,0
20060619,7.2,7.12,6.89,6.5,6.62,6.5,38.56,27.7,62.3,NA,8.85,0.07000000000000028,1
20060620,7.14,7.09,6.86,6.5,6.67,6.58,48.59,32.52,55.69,NA,8.85,0.20000000000000018,1
20060621,7.09,7.06,6.82,6.54,6.68,6.64,43.98,31.31,49.68,NA,8.85,-0.11000000000000032,0
20060622,7.03,7.03,6.78,6.62,6.69,6.68,44.54,31.56,46.5,NA,8.85,0.009999999999999787,1
20060623,6.97,7.0,6.75,6.68,6.7,6.71,45.17,31.81,43.77,NA,8.85,0.010000000000000675,1
20060626,6.9,6.96,6.72,6.68,6.68,6.69,38.92,30.38,42.67,NA,8.85,-0.1200000000000001,0
20060627,6.85,6.92,6.69,6.68,6.65,6.66,36.46,29.8,43.03,NA,8.85,-0.05000000000000071,0
20060628,6.84,6.94,6.71,6.76,6.77,6.78,65.99,43.37,39.42,NA,8.85,0.5900000000000007,1
20060629,6.81,6.97,6.75,6.81,6.89,6.89,68.05,44.71,37.99,NA,8.85,0.0699999999999994,1
20060630,6.8,7.02,6.82,6.93,7.04,7.07,75.08,49.7,37.69,NA,8.85,0.28000000000000025,1
20060703,6.8,7.07,6.89,7.04,7.16,7.21,75.52,50.04,38.4,54.71,8.85,0.019999999999999574,1
20060704,6.81,7.1,6.94,7.13,7.21,7.29,64.08,47.19,36.46,52.75,8.85,-0.16999999999999993,0
20060705,6.83,7.12,6.99,7.24,7.25,7.35,65.17,47.75,35.72,50.72,8.85,0.03000000000000025,1
20060706,6.85,7.14,7.04,7.34,7.26,7.37,58.93,46.22,31.96,49.05,8.85,-0.08999999999999986,0
20060707,6.87,7.15,7.07,7.36,7.26,7.34,55.49,45.37,27.94,47.54,8.85,-0.04999999999999982,0
20060710,6.92,7.16,7.11,7.37,7.26,7.32,58.33,46.41,24.39,46.19,8.85,0.04999999999999982,1
20060711,6.97,7.16,7.13,7.32,7.24,7.27,48.27,43.95,21.36,44.8,8.85,-0.13999999999999968,0
20060712,7.0,7.14,7.13,7.23,7.15,7.16,35.51,39.97,21.95,43.86,8.85,-0.25,0
20060713,7.01,7.11,7.11,7.15,7.07,7.06,32.69,38.94,23.49,43.08,8.85,-0.07000000000000028,0
20060714,7.02,7.07,7.08,7.06,6.98,6.95,28.2,37.19,25.8,42.46,8.85,-0.1200000000000001,0
20060717,7.02,7.03,7.05,6.97,6.9,6.85,26.11,36.34,28.95,42.02,8.85,-0.05999999999999961,0
20060718,7.04,7.05,7.07,6.97,6.98,6.92,59.75,48.42,25.08,40.76,8.85,0.5800000000000001,1
20060719,7.06,7.05,7.08,6.94,7.01,6.95,53.83,46.5,23.3,39.32,8.85,-0.1200000000000001,0
20060720,7.08,7.06,7.08,6.94,7.05,7.01,55.54,47.23,21.12,38.02,8.85,0.040000000000000036,1
20060721,7.11,7.1,7.12,7.01,7.14,7.12,65.3,51.77,21.79,36.39,8.85,0.2599999999999998,1
20060724,7.16,7.14,7.16,7.11,7.24,7.25,68.97,53.7,23.43,34.66,8.85,0.1200000000000001,1
20060725,7.21,7.18,7.19,7.23,7.32,7.36,69.89,54.18,26.03,33.05,8.85,0.02999999999999936,1
20060726,7.23,7.21,7.23,7.36,7.38,7.44,69.09,53.98,26.68,31.4,8.85,-0.009999999999999787,0
20060727,7.26,7.27,7.28,7.44,7.47,7.54,76.13,57.57,28.57,30.05,8.85,0.21999999999999975,1
20060728,7.27,7.31,7.33,7.53,7.55,7.62,75.22,57.35,30.41,28.8,8.85,-0.009999999999999787,0
20060731,7.28,7.35,7.37,7.61,7.58,7.66,67.68,55.62,28.3,27.4,8.85,-0.08000000000000007,0
20060801,7.3,7.38,7.41,7.65,7.62,7.69,69.88,56.48,27.43,26.1,8.85,0.05000000000000071,1
20060802,7.31,7.41,7.45,7.68,7.64,7.7,66.7,55.79,25.69,24.81,8.85,-0.03000000000000025,0
20060803,7.34,7.46,7.5,7.72,7.7,7.75,74.75,58.96,26.88,23.89,8.85,0.17999999999999972,1
20060804,7.36,7.48,7.54,7.75,7.7,7.75,58.31,54.83,25.15,22.79,8.85,-0.17999999999999972,0
20060807,7.38,7.5,7.56,7.73,7.69,7.72,54.43,53.73,21.61,21.76,8.85,-0.04999999999999982,0
20060808,7.4,7.49,7.57,7.68,7.63,7.65,41.54,49.54,20.8,21.02,8.85,-0.20000000000000018,0
20060809,7.43,7.5,7.58,7.66,7.6,7.62,47.36,51.14,21.69,20.51,8.85,0.08000000000000007,1
20060810,7.46,7.49,7.58,7.62,7.57,7.56,42.99,49.69,21.4,19.92,8.85,-0.07000000000000028,0
